station,depth,temperature,salinity,sand,silt,lon,lat,sediment_class,salinity_class,depth_class,community,shannon,pielou,number_of_species,h3
1,-9.0,5.2613,15.958,26.5,73.3,74.14253333333333,73.11003333333333,Silt,5-16,8_15,Portlandia+Marenzellaria,0.7706691168195893,0.11900877715786079,8,850b4daffffffff
2,-15.0,-0.4852,29.344,0.8,99.19999999999999,73.52853333333333,73.1193,Silt,>25,8_15,Pectinaria+Portlandia,2.0256163178775077,0.3128010656200247,6,850b4db7fffffff
3,-26.0,-0.98861,31.474,0.4,99.6,72.9607,73.13086666666666,Silt,>25,>23,Pectinaria+Portlandia,2.0310371128985225,0.31363815922166877,21,850b4db7fffffff
4,-18.5,-0.72484,30.789,1.1,98.9,72.43136666666666,73.14066666666666,Silt,>25,15_20,Pectinaria+Portlandia,3.514632283334103,0.5427388759591979,32,8500b647fffffff
5,-6.2,3.3374,25.189,61.0,38.8,71.92101666666667,73.14968333333333,Sand,>25,<8,Pectinaria+Portlandia,1.5150020887948565,0.23395065670094564,8,8500b60bfffffff
6,-10.0,0.26457,28.84,41.7,58.099999999999994,72.03953333333334,72.92378333333333,Sand,>25,8_15,Pectinaria+Portlandia,1.2792615484468062,0.19754697473022717,12,8500b653fffffff
7,-17.0,-0.78798,30.926,1.6,98.4,72.53153333333333,72.94116666666666,Silt,>25,15_20,Pectinaria+Portlandia,2.8072254397775516,0.4334992274934669,18,8500b643fffffff
8,-27.0,-0.96493,31.275,1.4,98.6,73.02338333333333,72.95561666666667,Silt,>25,>23,Pectinaria+Portlandia,3.0513218864367238,0.47119325076686547,24,850b4db3fffffff
9,-23.0,-0.94284,30.978,0.8,99.2,73.51548333333334,72.96908333333333,Silt,>25,>23,Pectinaria+Portlandia,2.118164039207623,0.32709253118399617,11,850b4db3fffffff
10,-6.0,8.4999,1.8733,30.4,69.6,74.01608333333333,72.98003333333334,Silt,<5,<8,Marenzellaria-Pontoporeia,0.21110988124295663,0.032600150005163496,2,850b4dabfffffff
11,-8.5,8.1286,1.9872,34.9,64.9,74.67838333333333,72.79028333333333,Silt,<5,8_15,Portlandia+Marenzellaria,0.8073877456958382,0.12467896560333687,11,850b4d03fffffff
12,-15.0,-0.37437,29.516,1.0,99.0,74.22046666666667,72.76061666666666,Clay,>25,8_15,Portlandia+Marenzellaria,2.1504230694703304,0.33207405653654504,6,850b4d17fffffff
13,-20.0,-0.90493,30.92,0.5,99.5,73.82158333333334,72.73006666666667,Clay,>25,15_20,Pectinaria+Portlandia,3.2582184199322035,0.5031427643935565,27,850b4d8ffffffff
14,-23.0,-0.75429,30.422,0.5,99.5,73.41763333333333,72.70003333333334,Clay,>25,>23,Pectinaria+Portlandia,3.320057158060252,0.5126920669995503,33,850b4d83fffffff
15,-9.0,4.9899,21.328,32.6,67.4,73.06961666666666,72.67008333333334,Silt,≈20,8_15,Portlandia+Marenzellaria,1.7826329215914092,0.275278922549068,15,850b4d83fffffff
16,-9.0,3.5646,22.21,31.4,68.4,73.11046666666667,72.49986666666666,Silt,≈20,8_15,Portlandia+Marenzellaria,1.107424944862929,0.17101150883810606,15,850b4d9bfffffff
17,-14.0,-0.080227,28.936,5.3,94.69999999999999,73.58111666666667,72.51973333333333,Silt,>25,8_15,Pectinaria+Portlandia,1.3100000008877128,0.20229368840653725,19,850b4d8bfffffff
18,-16.0,-0.46093,30.259,1.7,98.3,74.08143333333334,72.52973333333334,Silt,>25,8_15,Pectinaria+Portlandia,0.6329542072002055,0.09774247410702132,11,850b4dc7fffffff
19,-15.0,-0.29144,28.738,2.7,97.3,74.5002,72.55035,Silt,>25,8_15,Pectinaria+Portlandia,0.33651208903631574,0.051965092853752136,8,850b4d1bfffffff
20,-8.0,8.8381,1.5539,31.4,68.60000000000001,74.93018333333333,72.55961666666667,Silt,<5,8_15,Portlandia+Marenzellaria,1.4038846568474463,0.2167916069760054,12,850b4d0bfffffff
21,-9.5,9.0044,1.4807,29.0,70.8,75.00016666666667,72.3289,Silt,<5,8_15,Portlandia+Marenzellaria,1.3196411619547381,0.2037825021710017,7,850b4d53fffffff
22,-11.4,-0.084787,29.028,2.4,97.6,74.4189,72.32991666666666,Silt,>25,8_15,Portlandia+Marenzellaria,0.8245027387273767,0.1273219084010895,13,850b4dc3fffffff
23,-10.3,2.1977,24.642,0.9,99.1,73.87718333333333,72.32993333333333,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,2.6974449339158912,0.4165466294546565,8,850b4dc3fffffff
24,-10.0,2.3648,24.734,34.8,65.0,73.74228333333333,72.32231666666667,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,2.117946363347136,0.32705891709799223,10,850b4dd3fffffff
25,-11.5,1.7816,25.89,1.3,98.7,73.64196666666666,72.34758333333333,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,2.200254949700745,0.33976922817411165,8,850b4dd7fffffff
26,-12.0,1.7465,25.355,2.0,98.0,74.06951666666667,72.5791,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,2.20582006394109,0.3406286079338981,9,850b4d13fffffff
27,-7.0,4.5746,19.646,2.8,97.2,73.05831666666667,72.32975,Silt,≈20,<8,Portlandia+Marenzellaria,0.4494533525102467,0.06940578349951831,12,850b6b6ffffffff
28,-8.0,3.9134,19.266,7.3,92.7,72.85953333333333,72.1701,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.1759990362646093,0.18160090263152026,7,850b6b7bfffffff
29,-13.0,1.499,25.934,2.8,97.19999999999999,73.18808333333334,72.17511666666667,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,1.5465727662637285,0.23882588478212385,8,850b6b6bfffffff
30,-11.5,7.1551,4.681,1.0,99.0,73.56475,72.17236666666666,Silt,<5,8_15,Ampharete+Pontoporeia+Halicryptus,1.49957292064112,0.23156804346983953,9,850b4ca7fffffff
31,-12.0,3.4889,24.192,1.7,98.30000000000001,73.94468333333333,72.17026666666666,Silt,>25,8_15,Portlandia+Marenzellaria,1.1863383175196205,0.18319752197436867,7,850b4ddbfffffff
32,-13.0,0.83208,27.685,1.5,98.5,74.32385,72.1669,Silt,>25,8_15,Portlandia+Marenzellaria,1.0928816532832883,0.168765695026485,6,850b4ddbfffffff
33,-11.0,1.8666,26.353,1.8,98.2,74.70343333333334,72.1623,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,2.129642015572384,0.32886499085781074,9,850b4c37fffffff
34,-9.4,7.3829,2.4935,1.3,98.7,74.45055,72.00988333333333,Silt,<5,8_15,Portlandia+Marenzellaria,2.417526166537572,0.37332082802809186,10,850b4c33fffffff
35,-12.0,1.6155,26.426,1.1,98.9,74.00066666666666,72.0484,Silt,>25,8_15,Marenzellaria-Pontoporeia,1.5218718164343565,0.2350114983357556,6,850b4caffffffff
36,-10.7,8.5934,10.828,0.6,99.4,73.57885,72.09005,Silt,5-16,8_15,Ampharete+Pontoporeia+Halicryptus,2.7079640213423155,0.4181710149452826,12,850b4ca7fffffff
37,-12.5,2.4948,23.04,45.6,54.2,73.19935,72.13028333333334,Sand,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.4793251419273505,0.22844132756505164,8,850b6b6bfffffff
38,-10.3,5.4626,11.985,1.4,98.6,72.77086666666666,71.99731666666666,Silt,5-16,8_15,Ampharete+Pontoporeia+Halicryptus,0.9871614422093663,0.15244009852055454,6,850b6b4ffffffff
39,-14.0,2.4621,23.666,33.2,66.6,73.0281,71.96805,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,0.7831602088702959,0.12093768485362469,6,850b6b4ffffffff
40,-14.5,4.4547,19.89,23.9,75.9,73.28095,71.93888333333334,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,1.9785002879733335,0.30552528282160535,7,850b4cb3fffffff
41,-13.0,1.8008,24.566,6.1,93.9,73.53368333333333,71.90881666666667,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,0.9181432702085082,0.141782128618517,6,850b4ca3fffffff
42,-13.0,2.3851,24.888,32.1,67.69999999999999,73.25108333333333,71.76073333333333,Silt,>25,8_15,Ampharete+Pontoporeia+Halicryptus,1.0977197795919669,0.16951281137403923,7,850b4c87fffffff
43,-17.0,2.3104,24.286,1.8,98.2,72.98021666666666,71.79041666666667,Silt,>25,15_20,Ampharete+Pontoporeia+Halicryptus,2.087088614052449,0.3222937812838576,8,850b6b4bfffffff
44,-10.1,6.1848,11.377,40.7,59.1,72.72008333333333,71.80021666666667,Sand,5-16,8_15,Ampharete+Pontoporeia+Halicryptus,1.7246387553674798,0.2663233089738386,8,850b6b4bfffffff
45,-5.5,9.4453,0.70507,21.9,77.9,72.46923333333334,71.81996666666667,Silt,<5,<8,Ampharete+Pontoporeia+Halicryptus,1.1733433951906669,0.18119081146543806,7,850b6b43fffffff
46,-8.5,9.0006,1.258,2.4,97.60000000000001,72.21388333333333,71.57821666666666,Silt,<5,8_15,Ampharete+Pontoporeia+Halicryptus,0.8360127888257163,0.12909932098624927,5,850b6a2ffffffff
47,-20.1,2.7245,22.401,40.0,59.800000000000004,72.45085,71.5675,Sand,≈20,15_20,Ampharete+Pontoporeia+Halicryptus,0.985316976765297,0.1521552712552367,6,850b6a2ffffffff
48,-15.5,3.4067,22.338,37.7,62.1,72.68488333333333,71.5574,Silt,≈20,8_15,Ampharete+Pontoporeia+Halicryptus,0.7123724800557758,0.11000645527644362,7,850b4c93fffffff
49,-12.5,8.1809,9.2551,24.0,75.8,72.925,71.54958333333333,Clay,5-16,8_15,Ampharete+Pontoporeia+Halicryptus,0.899772569421097,0.1389452760854025,7,850b4c93fffffff
50,-10.0,11.111,0.057396,21.8,78.2,72.84996666666666,71.43013333333333,Silt,<5,8_15,Marenzellaria-Pontoporeia,1.5997119326556115,0.2470317763553897,4,850b4c93fffffff
51,-10.0,10.119,0.1585,6.7,93.3,72.6351,71.38185,Silt,<5,8_15,Marenzellaria-Pontoporeia,0.9817381260873974,0.1516026156037879,3,850b6a2bfffffff
