;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Chaetoderma nitidulum;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009740037;0;0;0;0;0;0;0;0;0.051545091;0.013566717;0.058506915;0;0;0.093145579
Chaetoderma sp.;0;0.017058622;0.001874471;0;0;0;0;0;0.117143314;0;0;0;0;0;0;0.016889491;0;0;0;0;0;0;0.016380725;0;0;0;0;0.085903653;0;0
Ascidiacea gen. sp.;0;0;0;0;0;0;0;0;0;0;0;0;0.046242615;0;0;0;0;0.104511348;0;0;0;0;0;0;0;0;0;0;0;0
Styellidae gen. sp.;0;0;0;0;0;0;0;0;0.039904121;0.041284146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Asteroidea juv.;0;0;0;0;0;0;0;0;0;0;0;0;0.025666477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ctenodiscus crispatus;0.061850855;0;0;0;0.163237233;0;0;0;0;0;0;0;0;0.055682614;1.048878267;0;0;0;0;0;0;0;0;0;1.90872875;0;1.890742288;0;0;0.352846048
Lophaster furcifer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24408253;0
Pontaster tenuispinus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.248507081;0
Arctinula greenlandica;0;0.031399054;0;0;0;0;0;0.229795603;0.003748942;0.001874471;0;0;0;0.009593118;0;0;0.001874471;0.125546735;0;0;0;0;0;0;0;0;0;0;0;0
Astarte crenata;0;0;0;0.248336507;0;0.831363516;0.58074984;0;0.55996682;1.732196416;0.394160756;0.342892852;0;0.092882156;0.136468976;0;0;0;0;0.106734067;0;0;5.136195557;0.116078907;3.351286716;0;0.150123668;0.790127519;0.936284193;0
Astarte elliptica;0;0;0;0;0;0;0.001874471;0.011582922;0;0;0;0.434521467;0.604465656;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bivalvia gen. sp.;0;0;0;0.001874471;0;0;0;0;0;0;0;0;0;0;0.101689696;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boreoacula maltzani;0;0;0.011246827;0;0;0;0;0;0;0;0;0;0.035852776;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ciliatocardium ciliatum;0.016990442;0.071436011;0;0;0;0.263792265;0.064748545;0.027548986;0;0;0;0.43154293;0.605623913;0.003152472;0;0;0;0;0;0;0;0;0;0;0;0;0;0.135457675;0;0
Cuspidaria arctica;0;0.02186758;0.009593118;0.003152472;0;0;0;0;0;0.011734823;0;0;0;0;0;0;0.011322003;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuspidaria cuspidata;0.011582922;0;0;0;0;0;0;0;0.008916537;0.016930343;0.40512004;0;0;0.005301805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cuspidaria glacialis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009740037;0;0.006304944;0.003152472;0.012535344;0.015693342
